answer,clue
INTRA,Part of IV
INTRO,Opening remarks
INTS,Dramatic football plays: Abbr.
INTWO,Halved
INUIT,Umiak passenger
INUP,___ to one's ears
INURE,Become used (to)
INURN,"Bury, as ashes"
INUSE,"Occupied, as a restroom"
INV,"Edison, e.g.: Abbr."
INXS,"Australian band with the 1988 #1 hit ""Need You Tonight"""
INYOU,"""I Still Believe ___"" (#1 Vince Gill country song)"
IOC,Overseer of a quadrennial competition: Abbr.
IODOL,Crystalline antiseptic
IOI,Number of Disney Dalmatians
IOLA,Kansas town on the Neosho River
IOLE,Heracles' captive maiden
ION,Charged particle
IONA,"College in New Rochelle, N.Y."
IONE,"""Last Days of Pompeii"" girl"
IONES,Actress Skye and others
IONIA,Ancient land in Asia Minor
IONIC,Architectural column style
IONO,Prefix with sphere
IONS,Charged things
IOOF,B.P.O.E. cousin
IOR,"""Should ___ shouldn't ..."""
IOS,Aegean island near Naxos
IOTA,Smidge
IOTAS,Shreds
IOU,Marker
IOUS,Things in pots
IOUSA,2008 documentary about the national debt
IOWA,Herbert Hoover's home state
IOWAN,Des Moinesian or Davenporter
IOWAS,Midwest tribe
IOWE,"""___ Russia $1200"" (Bob Hope book)"
IPA,"Hoppy beer choice, briefly"
IPAD,___ Air
IPADS,Tablets that run Safari
IPANA,Gleem competitor
IPAS,Hoppy brews
IPASS,"""No thanks!"""
IPO,"Stock opportunity, in brief"
IPOD,Device outmoded by the smartphone
IPODS,They may help people tune out conversations
IPOS,Some W.S.J. topics
IPRAY,Start of a supplication
IPS,Tape speed abbr.
IPSA,Res ___ loquitur
IPSE,___ dixit
IPSO,___ facto
IPUT,"""Where did ___ my keys?"""
IQS,Figs. that average 100
IQUIT,"Words after ""You can't fire me!"""
IRA,Playwright Levin
IRABU,Ex-Yankee Hideki
IRAE,"""Dies ___"""
IRAIL,Beam for train tracks
IRAN,Neighbor of Afghanistan
IRANI,Modern Persian
IRAQ,Amara?Æs nation
IRAQI,One barred from a U.N. no-fly zone
IRAS,Some J. P. Morgan hldgs.
IRATE,Steamed
IRE,"""It could not slake mine ___, nor ease my heart"": Shak."
IREAD,"""___ the news today, oh boy"" (Beatles lyric)"
IRED,Furious
IRENA,"Lady in Spenser's ""The Faerie Queene"""
IRENE,Goddess of peace
IRES,Angers
IREST,"""___ my case"""
IRID,"Crocus or freesia, e.g."
IRIDO,Rainbow: Prefix
IRIDS,Crocus and gladiolus
IRINA,"One of Chekhov's ""Three Sisters"""
IRING,Teeing off
IRIS,Perfume source
IRISE,"""And Still ___"" (Angelou volume)"
IRISH,___ Spring
IRK,Annoy
IRKED,Ticked off
IRKS,Rubs the wrong way
IRMA,"""___ La Douce"""
IRMAS,Cookbook author Rombauer et al.
IRNA,Soap opera creator Phillips
IROAM,"""...is sad and dreary ev'rywhere ___"": Stephen Foster"
IROC,"Classic Camaro, informally"
IRON,A magnet attracts it
IRONS,Pressing needs
IRONY,O. Henry literary device
IRR,Sale tag abbr.
IRREG,Nonstandard: Abbr.
IRRS,Some flawed mdse.
IRS,1040 initials
IRT,Original N.Y.C. subway line
IRULE,Cry made while chest-thumping
IRV,Sportscaster Cross
IRVAN,1991 Daytona 500 winner Ernie
IRVIN,"Wide receiver Michael, nicknamed ""the Playmaker"""
IRVS,Sportscaster Cross and others
IRWIN,Filmmaker Allen
ISA,"1992 top 10 hit ""Life ___ Highway"""
ISAAC,Sir ___ Newton
ISAAK,"Russian artist Brodsky, the first painter awarded the Order of Lenin"
ISACT,"""All I gotta do ___ naturally"" (Beatles lyric)"
ISAID,"""In case you didn't hear me ..."""
ISAK,"""Out of Africa"" author Dinesen"
ISALL,"""Love ___ Around"" (1968 Troggs hit)"
ISAN,"""There ___ old saying ..."""
ISAO,Golf's ___ Aoki
ISAR,Munich's river
ISAS,"""Your guess ___ good ..."""
ISAT,"""They laughed when ___..."""
ISAW,"""___ Her Standing There"""
ISAY,Essex exclamation
ISBAD,Does something naughty
ISBN,ID in a library
ISBNS,Info in a 1-Across
ISBUT,"""Life ___ a dream"""
ISDUE,Deserves
ISE,British verb ending
ISEE,Encouraging words from a student
ISEEA,"""___ little silhouetto of a man"" (Queen lyric)"
ISEEM,"""___ to remember ..."""
ISENT,"Jolson's ""___My Wife to the Thousand Isles"""
ISERE,Skiing destination Val d'___
ISFOR,Supports
ISH,Relative of -y
ISHAM,Bandleader Jones of the 1920s-'30s
ISHE,"""___ for real?"" (""Can you believe that guy?"")"
ISHOT,"""___ the Sheriff"" (Eric Clapton hit)"
ISI,"""Woe ___"" (humorous grammar book)"
ISIAH,Thomas of the N.B.A.
ISIN,"""... as it ___ heaven"""
ISING,"""Of Thee ___"""
ISIS,Nile deity
ISIT,"""___ true?"""
ISITA,"""___ crime?"""
ISITI,Question asked in Matthew 26:22
ISL,"Montreal, e.g.: Abbr."
ISLA,"Mallorca, e.g."
ISLAM,Nation of ___
ISLAS,"The Galapagos, e.g."
ISLE,Setting for many shipwreck movies
ISLED,"Marooned, maybe"
ISLES,Keys in a chain
ISLET,Key
ISLEY,Brothers' name in R&B
ISLIP,Town on the south shore of Long Island
ISLS,Cruise stops: Abbr.
ISM,Suffix with organ or patriot
ISME,"""Woe ___"""
ISMS,Philosophies
ISMY,"""The Lord ___ shepherd ..."""
ISNO,"""Money ___ object"""
ISNOT,"""This ___ a test"""
ISNT,"""___ It Time"" (1977 hit for the Babys)"
ISO,Thermal opening?
ISOF,"""Time ___ the essence"""
ISOK,Emerges unscathed
ISOLA,"Capri, for one"
ISOLE,Sicilia and Sardegna
ISON,"80's hit ""The Heat ___"""
ISONE,"""That ___ for the record books"""
ISOUR,"""God ___ refuge ..."": Psalm 46"
ISOUT,"Has left the office, e.g."
ISP,AOL or MSN: Abbr.
ISPS,Cos. that offer access
ISPY,Kindergarten game
ISR,El Al destination: Abbr.
ISRED,"""The East ___"" (1960s Chinese anthem)"
ISS,Magazine output: Abbr.
ISSA,House committee chairman Darrell
ISSEI,Japanese immigrant
ISSEL,Basketball Hall-of-Famer Dan
ISSET,"""The stage ___"""
ISSHE,"""This ___"" (phone phrase)"
ISSO,"""This ___ sudden!"""
ISSUE,Matter of dispute
ISSY,Paris suburb on the Seine
IST,Practitioner's suffix
ISTH,"Panama, e.g.: Abbr."
ISTHE,"""This ___ life!"""
ISTIC,Suffix with material
ISTLE,Carpet fiber
ISTO,Analogy words
ISTOO,Playground retort
ISTS,Believers: Suffix
ISU,Sch. in 19-Across
ISUP,Has an at-bat
ISUZU,Carmaker from Japan
ISWAR,"Pro wrestling's ""Raw ___"""
ISYET,"""The best ___ to come!"""
ITA,Eur. land
ITAGO,Give ___ (try)
ITAKE,"""___ your point"""
ITAL,Type spec: Abbr.
ITALL,"""Darn ___!"""
ITALO,Author Calvino
ITALS,"Titles are often written in them, briefly"
ITALY,Po land
ITAN,Call ___ evening
ITAND,"""Try___see!"""
ITAR,"With 17-Across, big name in international news"
ITAS,"""Play ___ it lays"""
ITAT,"""Let's leave ___ that"""
ITBE,"""What'll ___?"""
ITCH,"Wanderlust, e.g."
ITCHY,Like a poison ivy rash
ITD,"""___ really help"""
ITE,Follower of Israel?
ITEA,Virginia willow's genus
ITEM,Agenda unit
ITEMS,Twosomes
ITEN,Major Calif.-to-Fla. route
ITER,Roman way
ITERS,"Sinuses, e.g."
ITES,Mineral suffixes
ITFOR,"""I Can Get ___ You Wholesale"" ('62 musical)"
ITGO,"""Let ___"" (""Quit worrying"")"
ITGUY,He works with bugs
ITHAD,"""___ to Be You"""
ITHE,"""Am ___ Man"" (1960 Jackie Wilson hit)"
ITHEE,"""... ___ wed"""
ITHOT,"""Some Like ___"""
ITI,"""Lord, is ___?"""
ITIC,"Inflamed, in suffixes"
ITIN,Rub ___
ITINA,Rocker Turner's autobiography
ITION,Suffix with exped-
ITIS,Suffix with adenoid
ITISA,"""___ far far better thing ..."": Dickens"
ITISI,Grammatically proper identification
ITLL,"""___ cost you"""
ITMAY,"""___ come as no surprise ?à"""
ITN,BBC rival
ITNO,"""My Heart Can't Take ___ More"" (1963 Supremes song)"
ITNOW,"""Do ___!"" (""Stop procrastinating!"")"
ITO,1989 world champion skater
ITOFF,Words after hit or knock
ITOLD,"""___ you!"""
ITON,Lay ___
ITOO,Classic Langston Hughes poem
ITOR,"""Like ___ not"""
ITOS,Skater Midori et al.
ITOUT,"""Work ___"" (Beyonce song)"
ITPRO,"Person who helps with a crash, informally"
ITRIP,"""Let ___!"" (""Full speed ahead!"")"
ITRY,Humble response
ITS,"""___ time"""
ITSA,"""___ deal!"""
ITSAT,Where ___
ITSI,"Formal/informal reply to ""Who's there?"""
ITSIN,Tennis commentator's cry
ITSME,"""Who's there?"" response"
ITSNO,"""___ skin off my nose!"""
ITSO,"""You've never had ___ good"""
ITSOK,"""No worries"""
ITSON,"""Let's do this thing!"""
ITSSO,"Linda Ronstadt's ""___ Easy"""
ITSTO,"""___ die for"""
ITSUP,"""___ to you"""
ITSY,Li'l
ITT,Sheraton's parent
ITTO,"""Break ___ me gently"""
ITTOO,Have one's cake and eat ___
ITTY,Teeny
ITUP,Words after give or live
ITWAS,"""___ a dark and stormy .. ."""
ITY,Suffix with practical
ITZA,Chichén ___ (Mayan ruins city)
IUD,"Birth control option, briefly"
IUDS,Birth control options
IUM,Elemental ending
IVA,___ Toguri (Tokyo Rose)
IVAN,Memorable hurricane of 2004
IVANA,Onetime name at the Taj Mahal
IVANI,"Russian prince nicknamed ""Moneybag"""
IVANS,Two Romanov czars
IVANV,Joint czar with Peter I
IVAR,Basso Andresen
IVE,"""___ got it!"""
IVES,"""Universe Symphony"" composer"
IVEY,Poker star Phil
IVEYS,Actresses Dana and Judith
IVIE,Jazz singer Anderson
IVIED,Like some college walls
IVIES,Brown and others
IVINS,Political columnist Molly
IVO,1961 Literature Nobelist ___ Andric
IVOR,Actor/composer Novello
IVORY,Subject of a commercial trade ban
IVS,"Drug delivery options, briefly"
IVY,Wall clinger
IWALK,"Johnny Cash's ""___ the Line"""
IWANT,Uncle Sam poster words
IWAS,"""___ a Teen-age Werewolf"""
IWASA,"""___ Teenage Frankenstein,"" 1957 film"
IWERE,"""If ___ you ..."""
IWILL,"""You can count on me"""
IWIN,Game-ending pronouncement
IWISH,"""Wouldn't that be nice"""
IWO,___ Jima
IWON,Cry of glee
IWONT,"""No way!"""
IXION,"Tartarus captive, in myth"
IXNAY,Slangy turndown
IYAR,Month after Nisan
IZAAK,___ Walton League (conservation group)
IZE,Suffix not seen much in London
IZOD,Sport shirt brand
IZODS,Some preppy shirts
IZZY,"""Miami Vice"" informant"
JAB,Left or right
JABBA,"""Return of the Jedi"" villain"
JABOT,Blouse ruffle
JABS,Barbed comments
JACK,"Hike, with ""up"""
JACKO,"The King of Pop, in headlines"
JACKS,Game with a ball
JACOB,Furrier John ___ Astor
JADA,Novelty hit of 1919
JADE,Nephrite
JADED,Totally over it all
JADEN,Will Smith's actor son
JADES,Makes weary through overexposure
JAFAR,Aladdin's adversary
JAFFA,Kind of orange
JAFFE,"""Class Reunion"" novelist, 1979"
JAG,"Show from which ""NCIS"" was spun off"
JAGGY,Notched
JAGR,"Jaromir ___, five-time N.H.L. scoring leader"
JAGS,"Fancy sports cars, for short"
JAI,"World's fastest sport, with 2-Down"
JAIL,Monopoly corner square
JAILS,Solitary places
JAIME,"""I love,"" in France"
JAKE,One of the Blues Brothers
JAKES,"Nicholson film ""The Two ___"""
JAL,"Major Asian carrier, for short"
JAM,Bad situation
JAMA,Publication read by drs.
JAMAL,"Actor Malcolm-___ Warner of ""The Cosby Show"""
JAMB,Door part
JAMBS,Doorway components
JAMES,Most common first name among U.S. presidents (six)
JAMI,"""Twister"" actress Gertz"
JAMIE,Funnyman Fox
JAMIN,Pack tightly
JAMS,Tight spots
JAMUP,Copier malfunction
JAN,1/
JANA,Actress/country singer Kramer
JANDJ,Co. that makes Band-Aids
JANE,Half of a swinging couple?
JANES,Does yet to be identified
JANET,Singer Jackson
JANIE,"Who's ""got a gun"" in a 1989 Aerosmith hit"
JANIS,Arlo's partner in the funnies
JANN,Rolling Stone co-founder Wenner
JANOS,Former Hungarian leader Kadar
JANS,Comedienne Hooks et al.
JANUS,See 68-Across
JAPAN,Another name for Yamato
JAPE,Make sport of
JAPED,Made sport of
JAPES,Makes fun of
JAR,Rattle
JARED,"Actor Leto of ""American Psycho"""
JAROD,"Lead character on TV's ""The Pretender"""
JARS,Pantry stock
JARTS,Banned outdoor game
JAS,Part of Pres. Monroe's signature
JASON,Seeker of the Golden Fleece
JATO,Mil. plane's boosted launch
JAUNT,Quick trip
JAVA,Joe
JAVAN,Certain Indonesian
JAVAS,Diner cupfuls
JAW,Uppercut target
JAWA,"""Star Wars"" nomad"
JAWAT,Talk endlessly to
JAWED,Shot the breeze
JAWS,___ of Life
JAX,"The Jaguars, on scoreboards"
JAY,"With 22-Across, fourth in a series of five TV personalities (1992-2009)"
JAYE,"""The Gong Show"" panelist ___ P. Morgan"
JAYNE,Old-time actress Meadows
JAYS,Members of the crow family
JAYZ,Rapper born Shawn Corey Carter
JAZZ,What makes cats happy?
JCOLE,"Rapper with #1 albums in 2011, 2013 and 2014"
JCREW,Clothing retailer on the New York Stock Exchange since 2006
JCT,Highway sign abbr.
JCTS,Hwy. crossings
JDATE,Matchmaking site available in Hebrew
JDS,Attorneys' degs.
JEAN,___ Kennedy Smith (sister of J.F.K.)
JEANE,Former diplomat Kirkpatrick
JEANS,"Article of apparel with styles found at the starts of 17- 26-, 41-, 51- and 66-Across"
JEB,One of the Bushes
JED,Clampett patriarch of 1960's TV
JEDI,"Obi-Wan, for one"
JEEP,Rugged transportation
JEEPS,General transportation?
JEER,Routine response?
JEERS,Gibes
JEEZ,"""Holy moly!"""
JEFE,Mexican leader
JEFF,Auto racer Gordon
JEHU,King in II Kings
JELL,Come together
JELLO,Molded fare
JELLS,Takes shape
JEN,"""Dawson's Creek"" girl"
JENA,"Actress Malone of the ""Hunger Games"" films"
JENGA,"With 18-Down, structure that gets less stable with time"
JENI,Comic Richard ___
JENNY,"With 46-Across, program pitched by Queen Latifah"
JENS,Norwegian P.M. Stoltenberg
JER,What Kramer often called Seinfeld
JERI,"Ryan of ""Boston Public"""
JERK,Yank
JERKS,Idiots
JERKY,Erratic
JERRY,Hanna-Barbera mouse
JESS,Boxer Willard defeated by Jack Dempsey for the world heavyweight title
JESSE,Title guy in a 1980 Carly Simon hit
JEST,Bit of banter
JESTS,Isn't serious
JESU,"""___, Joy of Man's Desiring"""
JESUS,"Subject of Handel's ""Messiah"""
JET,Word before black or Blue
JETE,Barre hop?
JETER,Captain Clutch of baseball
JETES,Leaps across the ballet stage
JETLI,Martial arts champion-turned-film star
JETS,"""West Side Story"" gang"
JETT,Rocker Joan
JETTA,Volkswagen model
JETTY,Reducer of pier pressure?
JEU,"Vingt-et-un, e.g."
JEUDI,Day after mercredi
JEW,Yeshiva student
JEWEL,Gem
JEWS,"Moe, Larry and Curly, ethnically"
JFK,"""We choose to go to the moon"" speech giver, informally"
JIB,Sail fixed to a bowsprit
JIBE,Agree (with)
JIBED,Agreed
JIBES,Agrees
JIBS,Yacht parts
JIF,Rival of Peter Pan or Skippy
JIFF,Flash
JIFFY,Second
JIG,Foot-stomping dance
JIGGS,"Maggie's mate, in the comics"
JIGS,Lively dances
JIHAD,Crusade
JILL,"Eikenberry of ""L.A. Law"""
JILT,Leave in the lurch
JILTS,Leaves rudely
JIM,Muppeteer Henson
JIMA,Chichi-___ (largest of Japan's Bonin Islands)
JIMI,Guitarist Hendrix
JIMMY,"Force open, as a lock"
JIMS,"""Huckleberry Finn"" character and others"
JINGO,Ultrapatriot
JINKS,"""High"" hilarity"
JINN,Spirit of Islamic myth
JINNI,Bottled spirit
JINX,Bit of black magic
JIVE,Nonsensical talk
JIVED,Swung
JIVER,Deceptive talker
JIVES,Kids
JIVEY,Swinging
JLAW,"""The Hunger Games"" actress, in tabloids"
JLO,"2001 album with the #1 hit ""Ain't It Funny"""
JNR,Dad's namesake: Abbr.
JOAD,"Woody Guthrie's ""Tom ___"""
JOADS,Steinbeck family
JOAN,Novelist Didion
JOANN,Actress Pflug
JOANS,Lunden and Crawford
JOB,LinkedIn listing
JOBS,Perennial presidential campaign issue
JOCK,Athlete
JOCKO,Informal name for a monkey
JOCKS,Locker room habitues
JODI,"""My Sister's Keeper"" author Picoult"
JODIE,"___ Whittaker, player of the first female Doctor on ""Doctor Who"""
JOE,"""Mud"""
JOED,"Outfield mate of Scooter, of the 40's-50's Yankees"
JOEL,"""Piano Man"" performer Billy"
JOELS,Actor Grey and others
JOES,"""Eat at ___"""
JOEY,2004 spinoff show
JOEYS,Down Under youngsters
JOG,Do some cardio
JOGS,"Does laps, maybe"
JOHN,Chief Justice Roberts
JOHNQ,2002 Denzel Washington drama
JOHNS,Cans
JOIE,___ de vivre
JOIN,Couple
JOINS,Splices
JOINT,Wrist or knee
JOIST,Horizontal beam
JOJO,"One-named singer with the 2006 hit ""Too Little Too Late"""
JOKE,One-liner
JOKED,Played a card?
JOKER,Real card
JOKES,Kids around
JOLIE,"54-Down's partner in life and in ""Mr. and Mrs. Smith"""
JOLLA,"La ___, Calif."
JOLLY,"""A right ___ old elf"" (Santa)"
JOLT,Shake up
JOLTS,Bracing doses
JON,Actor Favreau
JONAH,One with quite a fish story
JONAS,Angola's Savimbi
JONES,Intense hankering
JONG,"Erica who wrote ""Fear of Flying"""
JONI,"""Big Yellow Taxi"" singer Mitchell"
JONS,Rock's Bon Jovi and others
JOON,"""Benny & ___"" (1993 film)"
JOREL,Superman's father
JORGE,Novelist Amado
JOS,"""___ Boys"" (1886 sequel)"
JOSE,"""No way"" man"
JOSEF,"___ K., Kafka's protagonist in ""The Trial"""
JOSH,Kid
JOSIE,Actress Bissett
JOSS,"Whedon who directed 2012's ""The Avengers"""
JOT,Take (down)
JOTS,Smidgens
JOTTO,See circled letters
JOULE,Unit in thermodynamics
JOUR,Carte du ___
JOUST,Tilters' contest
JOVE,Name in an old oath
JOVI,Rock's Bon ___
JOWL,Lower jaw
JOWLS,Bloodhounds have big ones
JOY,Felicity
JOYCE,Novelist ___ Carol Oates
JOYS,Pleasures
JPEG,Computer image file format
JPEGS,Some high-tech images
JPOP,"Music export from Tokyo, for short"
JQA,Presidential inits.
JRS,Many namesakes: Abbr.
JTILE,It's worth 8 points in Scrabble
JUAN,Argentine strongman Peron
JUBA,Capital of South Sudan
JUD,"""Pore ___ Is Daid"" (""Oklahoma!"" song)"
JUDAH,"Friedlander of ""30 Rock"""
JUDAS,Untrustworthy one
JUDD,Either half of a duo with 14 #1 country hits
JUDE,"He was told to ""take a sad song and make it better"""
JUDEA,Herod's realm
JUDGE,Bench warmer?
JUDI,Dame Dench
JUDO,Olympic sport since 1964
JUDY,No-nonsense TV judge
JUG,Water carrier
JUGS,Liquor containers
JUICE,Apple product
JUICY,Titillating
JUJU,Tribal symbol of luck
JUKE,"Vintage diner fixture, in brief"
JUKES,"Diner fixtures, informally"
JUL,Summer mo.
JULE,Composer Styne
JULEP,Sweet drink
JULES,Cartoonist Feiffer
JULIA,Child who's six-foot-two
JULIE,Musical London
JULY,Bastille Day's month
JUMBO,Larger than extra-large
JUMP,Follower of hop and skip
JUMPS,Leapfrogs
JUNCO,American finch
JUNE,Month for many Geminis
JUNG,Analytic psychology founder
JUNIO,Month after mayo
JUNK,Attic buildup
JUNKS,Discards
JUNO,"Hera, to the Romans"
JUNTA,What a general may lead
JURE,De ___ (by right)
JURIS,"The ""J"" of J.D."
JUROR,Panel member
JURY,Peer group
JUS,___ d'orange
JUST,"""___ do it"""
JUT,Protrude
JUTE,Burlap fiber
JUTES,Old Isle of Wight settlers
JUTS,"Protrudes, with ""out"""
JVS,Certain H.S. teams
KAA,"Snake in ""The Jungle Book"""
KAAT,'60s-'70s pitcher Jim
KABOB,Sticky food?
KABUL,Afghan capital
KACEY,Grammy-winning Musgraves
KAEL,Critic Pauline
KAFIR,"Grain sorghum with stout, leafy stalks"
KAFKA,"""Amerika"" author"
KAGAN,Justice who joined the bench in 2010
KAHLO,Mexican artist Frida
KAHN,"Gus who wrote the words to ""Makin' Whoopee"""
KAI,Chiang ___-shek
KAL,Actor Penn
KALB,Journalist Marvin or Bernard
KALE,Moolah
KALEL,Superman's name on Krypton
KALES,Some greens
KALI,Shiva's wife
KAMA,___ Sutra
KAN,Colo. neighbor
KANE,See 38-Across
KANES,Actress Carol et al.
KANGA,Milne creature
KANIN,"""Funny Girl"" director Garson ___"
KANJI,Japanese writing system
KANS,Neighbor of Nebr.
KANT,"""Metaphysics of Morals"" writer"
KANYE,West with Roc-A-Fella records
KAON,Particle named for a letter of the alphabet
KAOS,"Evil ""Get Smart"" organization"
KAPOK,Pillow padding
KAPOW,"""Wham!"""
KAPPA,Honor society letter
KAPUT,Fini
KARA,Russia's ___ Sea (arm of the Arctic Ocean)
KARAN,Designer Donna
KARAT,One of 22 in a Krugerrand
KAREL,"Reisz who directed ""The French Lieutenant's Woman"""
KAREN,"Silkwood of ""Silkwood"""
KARL,Marx with a manifesto
KARLA,Soviet spymaster in a John le Carre trilogy
KARLS,Malden and Marx
KARMA,Fate
KARO,Corn syrup brand
KAROL,Pope John Paul II's real first name
KART,Go-___
KARTS,Mini racing vehicles
KAS,___ in kangaroo
KASEM,Big name in Top 40
KASHA,Buckwheat cereal
KASHI,Whole-grain cereal brand
KAT,Krazy ___
KATE,Cole Porter title woman
KATES,Middleton and Moss
KATEY,"""Married ... With Children"" actress Sagal"
KATHY,Actress Bates
KATIE,Bright-eyed Couric
KATO,Mount ___ (Minnesota ski resort)
KATS,Kit ___ (candy bars)
KATT,"Nicky of ""Boston Public"""
KATY,"Perry with the 2010 hit ""Firework"""
KATZ,1970 Medicine Nobelist Bernard
KAUAI,Island neighbor of 27-Down
KAVA,Intoxicating Polynesian drink
KAY,"""Every kiss begins ..."" jeweler"
KAYAK,Popular airfare finder
KAYE,"""The Inspector General"" star, 1949"
KAYES,Danny and Stubby
KAYO,Send to the canvas
KAYOS,Renders senseless
KAYS,"Some jewelry stores, informally"
KAZ,"Second baseman Matsui, to fans"
KAZAN,"""East of Eden"" director"
KAZOO,Instrument anyone can play
KBS,Computer units: Abbr.
KCAL,Heat meas.
KCAR,'80s Chrysler offering
KCUP,Single-serve coffee holder
KCUPS,Single-serve coffee holders
KDKA,"Pittsburgh radio station since 1920, said to be the world's first"
KEA,Mauna ___
KEACH,Actor Stacy
KEAN,New Jersey's ___ University
KEANE,"Cartoonist who created Billy, Dolly, Jeffy and P.J."
KEANU,Actor Reeves
KEAS,Large green parrots
KEATS,"Poet who wrote ""A thing of beauty is a joy for ever"""
KEBAB,Shish ___
KEDGE,Small anchor
KEDS,Sneakers that come in over a hundred designs
KEEL,"Something often described as ""even"""
KEELS,Falls (over)
KEEN,Sharp
KEENE,"""The Secret of the Old Clock"" author"
